Запрос пользователя,Ответ чат-бота
Как добраться до Грибы?,"Ближайшая станция метро - ""Сенная площадь"", от нее пешком 15 минут"
Мне нужно на Кантемировскую,"Вы можете доехать на автобусе №275, 185, 249"
Какие адреса у корпусов Вышки?,"У Питерской Вышки несколько корпусов. Вот их адреса: наб. канала Грибоедова, 123; ул. Кантемировская, 3к1; ул. Союза Печатников, 16"
"По какому адресу учатся студенты ОП ""Филология""?","Филологи обитают по адресу наб. канала Грибоедова, 123"
Как мне найти библиотеку на Грибе?,После входа в университет поверни направо и поднимись по лестнице. Первая дверь справа - библиотека!
Мне нужно найти лекцию на Грибе,Лекции проходят в аудиториях 401 и 402. Это 4 этаж!
Чем известен НИУ ВШЭ в Санкт-Петербурге?,НИУ ВШЭ в СПб известен сильной исследовательской направленностью и международным сотрудничеством 
Есть ли программы на английском языке для иностранцев?,Петербургский кампус предлагает программы на английском и русском языках для иностранных студентов
Какие основные направления обучения в вашем университете?,"НИУ ВШЭ в Санкт-Петербурге — один из ведущих университетов России, специализирующийся на социальных и гуманитарных науках, экономике и IT"
До какого срока можно подать документы в магистратуру?,Для магистерских программ проверяйте дедлайны — некоторые принимают заявки до августа!
Какие стипендии доступны для иностранных студентов?,ВШЭ предоставляет стипендии для иностранных студентов с высокими академическими результатами. Нужны подробности?
Какие документы нужны для поступления?,"Процесс поступления включает подачу аттестата, мотивационного письма и, в некоторых случаях, вступительный экзамен"
Помогите выбрать программу обучения,"Помощь в выборе программы? У нас есть направления по экономике, бизнесу, компьютерным наукам и не только! "
Есть ли вступительные экзамены?,"На некоторые образовательные программы нужно сдать вступительные экзамены, помимо ЕГЭ. Хотите узнать подробнее?"
Какая внеучебная деятельность есть в вузе?,"Студенческая жизнь в ВШЭ СПб — это клубы, спорт и культурные мероприятия. В университете есть театр, музыкальные группы и даже комедийный клуб."
Как иностранным студентам помогают адаптироваться?,Иностранные студенты могут участвовать в программе адаптации с помощью тьюторов 
Расскажите про общежития вашего университета,В университете есть современные общежития по доступной цене для студентов
Какие студенческие клубы самые популярные?,Более 20 студенческих организаций — от дебатных клубов до стартап-инкубаторов!
Как попасть в дебатный клуб?,Любите дебаты? Дебатный клуб ВШЭ участвует в международных турнирах.
Есть ли в вузе возможности для стартапов?,В Startup Lab ВШЭ можно превратить свою идею в бизнес
Какие исследовательские центры есть в кампусе?,"В ВШЭ СПб работают исследовательские центры по data science, урбанистике и социальным наукам"
Можно ли участвовать в исследованиях с первого курса?,Студенты могут участвовать в исследовательских проектах уже со первого курса
Насколько сильный преподавательский состав?,Многие преподаватели ВШЭ — признанные эксперты в своих областях с международной репутацией
Сколько иностранных студентов учится в вашем кампусе?,Иностранные студенты составляют около 15% учащихся ВШЭ в Санкт-Петербурге
Как получить студенческую визу?,Нужна виза? Университет предоставляет приглашения для учебных виз
Есть ли курсы русского языка для иностранцев?,Для иностранных студентов доступны курсы русского языка для повышения уровня.
Какая помощь предоставляется международным студентам?,"Международный офис помогает с визами, жильём и культурной адаптацией"
Куда писать по вопросам поступления?,По вопросам поступления пишите на admissions-spb@hse.ru
Где находится ваш кампус?,"Главный кампус расположен по адресу: Санкт-Петербург, ул. Кантемировская, 3"
Как связаться в экстренной ситуации?,Нужна срочная помощь? Звоните на горячую линию для студентов: +7 (812) 644-59-11
Где можно найти информацию о днях открытых дверей?,"Следите за новостями в разделе ""Новости"" — там информация о днях открытых дверей и гостевых лекциях"
Какие компании приходят на ярмарки вакансий?,"ВШЭ регулярно проводит ярмарки вакансий с такими работодателями, как Яндекс, Сбер и PwC."
Помогает ли университет с трудоустройством?,Центр карьеры ВШЭ помогает студентам найти стажировки и работу
Где работают ваши выпускники?,Более 80% выпускников ВШЭ трудоустраиваются в течение 6 месяцев после выпуска
Есть ли программы менторства?,Ассоциация выпускников проводит карьерные встречи и программы менторства
В каких компаниях работают студенты и выпускники НИУ ВШЭ?,"Среди компаний, нанимающих студентов ВШЭ — Google, McKinsey и Deloitte"
Как получить доступ к электронной библиотеке?,Доступ к электронной библиотеке на сайте: library.hse.ru.
Где найти учебные материалы?,"Учебные материалы доступны на цифровых платформах ВШЭ, например, в LMS"
Какие есть варианты финансовой помощи?,"ВШЭ предлагает стипендии, покрывающие от 25% до 100% стоимости обучения"
Как иностранным студентам участвовать в стипендиальном конкурсе?,Иностранные студенты могут участвовать в Глобальном конкурсе стипендий ВШЭ
Есть ли программы с полным покрытием обучения?,"Нужна финансовая помощь? Проверьте раздел ""Скидки на обучение"" на сайте"
Какие условия в кампусе?,"В кампусе есть современные лектории, компьютерные классы и круглосуточная библиотека"
Есть ли бесплатный Wi-Fi?,Бесплатный Wi-Fi доступен во всех корпусах ВШЭ в Санкт-Петербурге
Где можно недорого поесть в университете?,В студенческой столовой можно поесть недорого (около 200 руб. за обед
Сколько стоит проживание в общежитии?,Стоимость общежития: от 1500 до 5000 руб. в месяц
Иностранным студентам гарантировано место в общежитии?,Иностранные студенты имеют приоритет при заселении в общежитие
Помогает ли вуз с поиском аренды?,Хотите снимать жильё? Университет помогает с арендой
Можно ли жить в общежитии летом?,"Да, летом студенты могут остаться в общежитии"
