Тема,Ответ чат-бота,,Запрос пользователя
Навигация,"Ближайшая станция метро - ""Сенная площадь"", от нее пешком 15 минут",,Как добраться до Грибы?
,"Вы можете доехать на автобусе №275, 185, 249",,Мне нужно на Кантемировскую
,"У Питерской Вышки несколько корпусов. Вот их адреса: наб. канала Грибоедова, 123; ул. Кантемировская, 3к1; ул. Союза Печатников, 16",,Какие адреса у корпусов Вышки?
,"Филологи обитают по адресу наб. канала Грибоедова, 123",,"По какому адресу учатся студенты ОП ""Филология""?"
Навигация внутри корпуса,После входа в университет поверни направо и поднимись по лестнице. Первая дверь справа - библиотека!,,Как мне найти библиотеку на Грибе?
,Лекции проходят в аудиториях 401 и 402. Это 4 этаж!,,Мне нужно найти лекцию на Грибе
Основная информация об университете,НИУ ВШЭ в СПб известен сильной исследовательской направленностью и международным сотрудничеством ,,Чем известен НИУ ВШЭ в Санкт-Петербурге?
,Петербургский кампус предлагает программы на английском и русском языках для иностранных студентов,,Есть ли программы на английском языке для иностранцев?
,"НИУ ВШЭ в Санкт-Петербурге — один из ведущих университетов России, специализирующийся на социальных и гуманитарных науках, экономике и IT",,Какие основные направления обучения в вашем университете?
Поступление и программы,Для магистерских программ проверяйте дедлайны — некоторые принимают заявки до августа!,,До какого срока можно подать документы в магистратуру?
,ВШЭ предоставляет стипендии для иностранных студентов с высокими академическими результатами. Нужны подробности?,,Какие стипендии доступны для иностранных студентов?
,"Процесс поступления включает подачу аттестата, мотивационного письма и, в некоторых случаях, вступительный экзамен",,Какие документы нужны для поступления?
,"Помощь в выборе программы? У нас есть направления по экономике, бизнесу, компьютерным наукам и не только! ",,Помогите выбрать программу обучения
Студенческая жизнь,"На некоторые образовательные программы нужно сдать вступительные экзамены, помимо ЕГЭ. Хотите узнать подробнее?",,Есть ли вступительные экзамены?
,"Студенческая жизнь в ВШЭ СПб — это клубы, спорт и культурные мероприятия. В университете есть театр, музыкальные группы и даже комедийный клуб.",,Какая внеучебная деятельность есть в вузе?
,Иностранные студенты могут участвовать в программе адаптации с помощью тьюторов ,,Как иностранным студентам помогают адаптироваться?
,В университете есть современные общежития по доступной цене для студентов,,Расскажите про общежития вашего университета
,Более 20 студенческих организаций — от дебатных клубов до стартап-инкубаторов!,,Какие студенческие клубы самые популярные?
,Любите дебаты? Дебатный клуб ВШЭ участвует в международных турнирах.,,Как попасть в дебатный клуб?
,В Startup Lab ВШЭ можно превратить свою идею в бизнес,,Есть ли в вузе возможности для стартапов?
Наука и академическая деятельность,"В ВШЭ СПб работают исследовательские центры по data science, урбанистике и социальным наукам",,Какие исследовательские центры есть в кампусе?
,Студенты могут участвовать в исследовательских проектах уже со первого курса,,Можно ли участвовать в исследованиях с первого курса?
,Многие преподаватели ВШЭ — признанные эксперты в своих областях с международной репутацией,,Насколько сильный преподавательский состав?
Иностранные студенты,Иностранные студенты составляют около 15% учащихся ВШЭ в Санкт-Петербурге,,Сколько иностранных студентов учится в вашем кампусе?
,Нужна виза? Университет предоставляет приглашения для учебных виз,,Как получить студенческую визу?
,Для иностранных студентов доступны курсы русского языка для повышения уровня.,,Есть ли курсы русского языка для иностранцев?
,"Международный офис помогает с визами, жильём и культурной адаптацией",,Какая помощь предоставляется международным студентам?
Контакты и поддержка,По вопросам поступления пишите на admissions-spb@hse.ru,,Куда писать по вопросам поступления?
,"Главный кампус расположен по адресу: Санкт-Петербург, ул. Кантемировская, 3",,Где находится ваш кампус?
,Нужна срочная помощь? Звоните на горячую линию для студентов: +7 (812) 644-59-11,,Как связаться в экстренной ситуации?
Мероприятия и новости,"Следите за новостями в разделе ""Новости"" — там информация о днях открытых дверей и гостевых лекциях",,Где можно найти информацию о днях открытых дверей?
,"ВШЭ регулярно проводит ярмарки вакансий с такими работодателями, как Яндекс, Сбер и PwC.",,Какие компании приходят на ярмарки вакансий?
Карьерные возможности,Центр карьеры ВШЭ помогает студентам найти стажировки и работу,,Помогает ли университет с трудоустройством?
,Более 80% выпускников ВШЭ трудоустраиваются в течение 6 месяцев после выпуска,,Где работают ваши выпускники?
,Ассоциация выпускников проводит карьерные встречи и программы менторства,,Есть ли программы менторства?
,"Среди компаний, нанимающих студентов ВШЭ — Google, McKinsey и Deloitte",,В каких компаниях работают студенты и выпускники НИУ ВШЭ?
Онлайн-ресурсы,Доступ к электронной библиотеке на сайте: library.hse.ru.,,Как получить доступ к электронной библиотеке?
,"Учебные материалы доступны на цифровых платформах ВШЭ, например, в LMS",,Где найти учебные материалы?
Стипендии и финансовая помощь,"ВШЭ предлагает стипендии, покрывающие от 25% до 100% стоимости обучения",,Какие есть варианты финансовой помощи?
,Иностранные студенты могут участвовать в Глобальном конкурсе стипендий ВШЭ,,Как иностранным студентам участвовать в стипендиальном конкурсе?
,"Нужна финансовая помощь? Проверьте раздел ""Скидки на обучение"" на сайте",,Есть ли программы с полным покрытием обучения?
,"В кампусе есть современные лектории, компьютерные классы и круглосуточная библиотека",,Какие условия в кампусе?
Кампус,Бесплатный Wi-Fi доступен во всех корпусах ВШЭ в Санкт-Петербурге,,Есть ли бесплатный Wi-Fi?
,В студенческой столовой можно поесть недорого (около 200 руб. за обед,,Где можно недорого поесть в университете?
,Стоимость общежития: от 1500 до 5000 руб. в месяц,,Сколько стоит проживание в общежитии?
,Иностранные студенты имеют приоритет при заселении в общежитие,,Иностранным студентам гарантировано место в общежитии?
,Хотите снимать жильё? Университет помогает с арендой,,Помогает ли вуз с поиском аренды?
,"Да, летом студенты могут остаться в общежитии",,Можно ли жить в общежитии летом?
